1103,,1153,R3E 1K6,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1165,,1221,R3E 1K7,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1229,,1291,R3E 1K9,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1293,,1321,R3E 1L3,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1425,,1485,R3E 1L5,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1489,,1575,R3E 1L7,Weston,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
1579,,1675,R3E 1M1,Cecil Rhodes,Cecil Rhodes,Cecil Rhodes,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
ALFRED AVE,,,,,,,,,,
even 126,,178,R2W 1X1,Norquay,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
258,,286,R2W 1X4,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
294,,350,R2W 1X6,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
Suite,From,To,Postal Code,Regular Elem. Catchment,Regular  Grade 7&8 Catch.,Regular  Grade 9 Catch.,Regular Gr.10 Catch.,Elementary FI Dual @ EFM*,78FD**,HSFD***
ALFRED AVE,,,,,,,,,,
even,358,410,R2W 1X8,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",422,470,R2W 1Y1,William Whyte,William Whyte,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",480,530,R2W 1Y2,William Whyte,William Whyte,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",536,594,R2W 1Y4,Strathcona,Isaac Newton,Isaac Newton,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",670,720,R2W 1Y8,Strathcona,Isaac Newton,Isaac Newton,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
